prompt,answer
What is the area of a rectangle with length 9 and width 7,63
What is the perimeter of a rectangle with length 8 and width 5,26
12 × 12,144
96 ÷ 8,12
84 ÷ 7,12
15 × 6,90
45 ÷ 9,5
14 × 8,112
72 ÷ 6,12
3 quarters plus 2 quarters equals how many quarters,5
If a book has 125 pages and you read 25 pages each day how many days to finish,5
The product of 13 and 4,52
What is the area of a square with side length 11,121
What is 300 minus 175,125
What is 600 minus 275,325
What is 48 plus 27,75
What is 39 plus 28,67
What is 84 minus 29,55
What is 75 minus 36,39
If a rectangle is 12 by 9 what is its perimeter,42
If a rectangle is 10 by 4 what is its area,40
What is 18 × 7,126
What is 132 ÷ 12,11
What is 90 ÷ 6,15
What is 25 × 4,100
What is 28 × 5,140
What is 36 ÷ 3,12
What is 49 ÷ 7,7
What is 16 × 9,144
What is 180 ÷ 12,15
A garden is 14 by 6 what is its area,84
A rectangle is 15 by 8 what is its perimeter,46
If there are 24 cookies and 6 friends how many each,4
If a rope is 90 cm and you cut 35 cm how much is left,55
What is 125 + 275,400
What is 500 - 275,225
What is 72 + 39,111
What is 95 - 37,58
What is 14 × 9,126
What is 144 ÷ 12,12
A square has side 13 what is its perimeter,52
A square has side 12 what is its area,144
If 3 boxes hold 24 pencils each how many pencils,72
A pizza has 8 slices if 3 people eat 2 each how many left,2
If you jog 3 km a day for 7 days how many km,21
What is 210 ÷ 14,15
What is 11 × 11,121
What is 96 ÷ 12,8
What is 13 × 7,91
What is 15 × 9,135
